DATE,EUANDH
1998-07-01,-0.22
1998-08-01,0.28
1998-09-01,0.02
1998-10-01,-0.05
1998-11-01,0.15
1998-12-01,0.13
1999-01-01,0.03
1999-02-01,0.07
1999-03-01,-0.06
1999-04-01,0.04
1999-05-01,0.11
1999-06-01,-0.03
1999-07-01,0.1
1999-08-01,0.02
1999-09-01,-0.01
1999-10-01,0.23
1999-11-01,0.15
1999-12-01,0.17
2000-01-01,0.3
2000-02-01,-0.07
2000-03-01,0.19
2000-04-01,0.23
2000-05-01,-0.49
2000-06-01,0.01
2000-07-01,-0.01
2000-08-01,-0.3
2000-09-01,0.07
2000-10-01,-0.14
2000-11-01,-0.1
2000-12-01,-0.12
2001-01-01,-0.36
2001-02-01,-0.37
2001-03-01,-0.4
2001-04-01,-0.75
2001-05-01,-0.49
2001-06-01,-0.63
2001-07-01,-0.45
2001-08-01,-0.8
2001-09-01,-0.56
2001-10-01,-1
2001-11-01,-0.73
2001-12-01,-0.48
2002-01-01,-0.53
2002-02-01,-0.27
2002-03-01,-0.32
2002-04-01,-0.36
2002-05-01,-0.21
2002-06-01,-0.14
2002-07-01,-0.33
2002-08-01,-0.28
2002-09-01,-0.18
2002-10-01,-0.27
2002-11-01,-0.35
2002-12-01,-0.46
2003-01-01,0.06
2003-02-01,-0.44
2003-03-01,-0.49
2003-04-01,-0.38
2003-05-01,-0.28
2003-06-01,-0.29
2003-07-01,-0.27
2003-08-01,-0.16
2003-09-01,-0.04
2003-10-01,0.03
2003-11-01,0
2003-12-01,0
2004-01-01,0.04
2004-02-01,-0.05
2004-03-01,0.09
2004-04-01,0.18
2004-05-01,0.23
2004-06-01,-0.06
2004-07-01,0.01
2004-08-01,-0.05
2004-09-01,0.03
2004-10-01,0.14
2004-11-01,-0.16
2004-12-01,0.05
2005-01-01,0.03
2005-02-01,0.12
2005-03-01,-0.02
2005-04-01,0.28
2005-05-01,-0.04
2005-06-01,0.1
2005-07-01,0.21
2005-08-01,0.03
2005-09-01,-0.2
2005-10-01,0.13
2005-11-01,0.14
2005-12-01,0.03
2006-01-01,0.31
2006-02-01,0.12
2006-03-01,0.14
2006-04-01,0
2006-05-01,-0.17
2006-06-01,-0.04
2006-07-01,-0.12
2006-08-01,-0.01
2006-09-01,-0.05
2006-10-01,-0.13
2006-11-01,-0.12
2006-12-01,0.06
2007-01-01,-0.02
2007-02-01,-0.16
2007-03-01,0.19
2007-04-01,-0.38
2007-05-01,0.04
2007-06-01,-0.1
2007-07-01,-0.28
2007-08-01,-0.35
2007-09-01,-0.13
2007-10-01,-0.28
2007-11-01,-0.07
2007-12-01,-0.28
2008-01-01,-0.17
2008-02-01,-0.31
2008-03-01,-0.39
2008-04-01,-0.47
2008-05-01,-0.6
2008-06-01,-0.54
2008-07-01,-0.62
2008-08-01,-0.69
2008-09-01,-0.92
2008-10-01,-0.97
2008-11-01,-1.41
2008-12-01,-1.53
2009-01-01,-1.72
2009-02-01,-1.43
2009-03-01,-1.6
2009-04-01,-1.35
2009-05-01,-0.93
2009-06-01,-0.8
2009-07-01,-0.58
2009-08-01,-0.53
2009-09-01,-0.45
2009-10-01,-0.56
2009-11-01,-0.1
2009-12-01,-0.44
2010-01-01,-0.02
2010-02-01,-0.31
2010-03-01,0.12
2010-04-01,0.35
2010-05-01,0.07
2010-06-01,-0.13
2010-07-01,0.08
2010-08-01,-0.06
2010-09-01,-0.05
2010-10-01,0.14
2010-11-01,-0.11
2010-12-01,0.11
2011-01-01,0.01
2011-02-01,0.31
2011-03-01,0.21
2011-04-01,0.17
2011-05-01,0.01
2011-06-01,0
2011-07-01,0.19
2011-08-01,-0.04
2011-09-01,0.2
2011-10-01,0.12
2011-11-01,0.05
2011-12-01,0.2
2012-01-01,0.47
2012-02-01,0.06
2012-03-01,0.27
2012-04-01,-0.08
2012-05-01,0.03
2012-06-01,-0.04
2012-07-01,0
2012-08-01,0.01
2012-09-01,0.13
2012-10-01,0.13
2012-11-01,-0.14
2012-12-01,0.14
2013-01-01,0.11
2013-02-01,0.24
2013-03-01,0.02
2013-04-01,-0.03
2013-05-01,0.09
2013-06-01,0.02
2013-07-01,-0.01
2013-08-01,0.17
2013-09-01,0.1
2013-10-01,0.02
2013-11-01,0.22
2013-12-01,0.04
2014-01-01,0.13
2014-02-01,0.04
2014-03-01,0.24
2014-04-01,0.32
2014-05-01,0.17
2014-06-01,0.23
2014-07-01,0.08
2014-08-01,0.15
2014-09-01,0.23
2014-10-01,0.29
2014-11-01,0.08
2014-12-01,0.19
2015-01-01,0.1
2015-02-01,0.09
2015-03-01,-0.04
2015-04-01,0.19
2015-05-01,0.12
2015-06-01,0.06
2015-07-01,0.22
2015-08-01,-0.07
2015-09-01,-0.12
2015-10-01,0.18
2015-11-01,0.05
2015-12-01,0.09
2016-01-01,0.1
2016-02-01,0.01
2016-03-01,0.01
2016-04-01,-0.03
2016-05-01,-0.09
2016-06-01,0.06
2016-07-01,0.17
2016-08-01,-0.11
2016-09-01,0.01
2016-10-01,0.01
2016-11-01,0.11
2016-12-01,-0.01
2017-01-01,0.07
2017-02-01,0.2
2017-03-01,0.02
2017-04-01,0.17
2017-05-01,-0.06
2017-06-01,0.16
2017-07-01,0.03
2017-08-01,0.06
2017-09-01,0.13
2017-10-01,0.12
2017-11-01,0.09
2017-12-01,0.03
2018-01-01,0.18
2018-02-01,0.36
2018-03-01,0.06
2018-04-01,0.12
2018-05-01,0.13
