DATE,CFNAI
1974-09-01,-1.17
1974-10-01,-1.52
1974-11-01,-3.84
1974-12-01,-5.16
1975-01-01,-3.15
1975-02-01,-3.4
1975-03-01,-2.98
1975-04-01,-0.7
1975-05-01,-0.31
1975-06-01,-0.05
1975-07-01,0.97
1975-08-01,1.18
1975-09-01,0.8
1975-10-01,0.55
1975-11-01,0.21
1975-12-01,1.26
1976-01-01,2.25
1976-02-01,1.35
1976-03-01,0.58
1976-04-01,0.62
1976-05-01,0.36
1976-06-01,0.12
1976-07-01,0.53
1976-08-01,0.45
1976-09-01,0.51
1976-10-01,-0.46
1976-11-01,1.45
1976-12-01,1.48
1977-01-01,0.00
1977-02-01,1.57
1977-03-01,1.8
1977-04-01,1.1
1977-05-01,1.16
1977-06-01,1.14
1977-07-01,0.66
1977-08-01,0.48
1977-09-01,0.88
1977-10-01,0.65
1977-11-01,0.89
1977-12-01,1.31
1978-01-01,-1.45
1978-02-01,1.41
1978-03-01,2.06
1978-04-01,2.72
1978-05-01,0.61
1978-06-01,1.38
1978-07-01,-0.04
1978-08-01,1.09
1978-09-01,0.48
1978-10-01,1.20
1978-11-01,1.22
1978-12-01,0.85
1979-01-01,-0.42
1979-02-01,0.36
1979-03-01,1.44
1979-04-01,-1.94
1979-05-01,1.71
1979-06-01,0.04
1979-07-01,-0.2
1979-08-01,-0.85
1979-09-01,0.01
1979-10-01,0.02
1979-11-01,-0.46
1979-12-01,-0.2
1980-01-01,0.03
1980-02-01,-0.72
1980-03-01,-1.53
1980-04-01,-3.53
1980-05-01,-3.66
1980-06-01,-2.05
1980-07-01,-1.24
1980-08-01,0.52
1980-09-01,1.36
1980-10-01,1.62
1980-11-01,1.05
1980-12-01,0.45
1981-01-01,-0.36
1981-02-01,-0.65
1981-03-01,-0.03
1981-04-01,0.07
1981-05-01,-0.1
1981-06-01,-0.47
1981-07-01,0.11
1981-08-01,-0.7
1981-09-01,-1.51
1981-10-01,-1.81
1981-11-01,-2.1
1981-12-01,-2.52
1982-01-01,-2.75
1982-02-01,0.87
1982-03-01,-1.62
1982-04-01,-1.73
1982-05-01,-1.03
1982-06-01,-1.83
1982-07-01,-1.28
1982-08-01,-1.72
1982-09-01,-1.17
1982-10-01,-2.03
1982-11-01,-1.09
1982-12-01,-0.81
1983-01-01,1.6
1983-02-01,-0.74
1983-03-01,0.93
1983-04-01,1.03
1983-05-01,1.35
1983-06-01,1.67
1983-07-01,1.82
1983-08-01,0.35
1983-09-01,2.76
1983-10-01,1.46
1983-11-01,1.23
1983-12-01,1.49
1984-01-01,2.02
1984-02-01,1.27
1984-03-01,0.78
1984-04-01,0.98
1984-05-01,0.94
1984-06-01,0.97
1984-07-01,0.28
1984-08-01,0.07
1984-09-01,0.08
1984-10-01,0.27
1984-11-01,0.72
1984-12-01,0.17
1985-01-01,-0.17
1985-02-01,-0.05
1985-03-01,0.58
1985-04-01,-0.43
1985-05-01,0.51
1985-06-01,-0.64
1985-07-01,-0.4
1985-08-01,0.75
1985-09-01,0.32
1985-10-01,-0.40
1985-11-01,0.50
1985-12-01,0.43
1986-01-01,0.79
1986-02-01,-0.81
1986-03-01,-0.27
1986-04-01,0.57
1986-05-01,-0.18
1986-06-01,-0.28
1986-07-01,0.52
1986-08-01,0.06
1986-09-01,0.73
1986-10-01,-0.17
1986-11-01,0.13
1986-12-01,1.13
1987-01-01,-0.94
1987-02-01,1.91
1987-03-01,0.28
1987-04-01,0.49
1987-05-01,0.71
1987-06-01,0.35
1987-07-01,1.0
1987-08-01,0.51
1987-09-01,0.64
1987-10-01,1.28
1987-11-01,0.49
1987-12-01,0.77
1988-01-01,-0.20
1988-02-01,0.81
1988-03-01,0.55
1988-04-01,0.53
1988-05-01,-0.04
1988-06-01,0.76
1988-07-01,0.05
1988-08-01,0.01
1988-09-01,0.22
1988-10-01,0.71
1988-11-01,0.38
1988-12-01,0.85
1989-01-01,0.48
1989-02-01,-0.5
1989-03-01,-0.15
1989-04-01,0.13
1989-05-01,-0.92
1989-06-01,-0.27
1989-07-01,-1.15
1989-08-01,0.62
1989-09-01,-0.7
1989-10-01,-0.55
1989-11-01,0.25
1989-12-01,-0.04
1990-01-01,-0.39
1990-02-01,0.84
1990-03-01,0.21
1990-04-01,-1.0
1990-05-01,-0.13
1990-06-01,-0.14
1990-07-01,-0.9
1990-08-01,-0.56
1990-09-01,-1.12
1990-10-01,-1.55
1990-11-01,-2.07
1990-12-01,-1.44
1991-01-01,-1.65
1991-02-01,-1.58
1991-03-01,-1.5
1991-04-01,-0.22
1991-05-01,-0.30
1991-06-01,0.09
1991-07-01,-0.12
1991-08-01,-0.49
1991-09-01,0.39
1991-10-01,-0.66
1991-11-01,-0.66
1991-12-01,-1.14
1992-01-01,-0.35
1992-02-01,0.02
1992-03-01,0.55
1992-04-01,0.31
1992-05-01,-0.09
1992-06-01,-0.09
1992-07-01,0.46
1992-08-01,-0.75
1992-09-01,-0.09
1992-10-01,0.34
1992-11-01,0.16
1992-12-01,0.52
1993-01-01,0.40
1993-02-01,0.3
1993-03-01,-0.69
1993-04-01,0.34
1993-05-01,-0.07
1993-06-01,-0.04
1993-07-01,0.04
1993-08-01,-0.03
1993-09-01,0.50
1993-10-01,0.54
1993-11-01,0.45
1993-12-01,0.71
1994-01-01,0.14
1994-02-01,0.24
1994-03-01,1.40
1994-04-01,0.48
1994-05-01,0.77
1994-06-01,0.64
1994-07-01,0.21
1994-08-01,1.08
1994-09-01,0.39
1994-10-01,0.91
1994-11-01,0.83
1994-12-01,0.93
1995-01-01,0.25
1995-02-01,-0.26
1995-03-01,-0.08
1995-04-01,-0.67
1995-05-01,-0.22
1995-06-01,0.31
1995-07-01,-0.79
1995-08-01,0.96
1995-09-01,0.24
1995-10-01,-0.37
1995-11-01,-0.09
1995-12-01,0.03
1996-01-01,-1.29
1996-02-01,1.13
1996-03-01,-0.24
1996-04-01,0.56
1996-05-01,0.59
1996-06-01,0.66
1996-07-01,0.0
1996-08-01,0.38
1996-09-01,0.41
1996-10-01,0.04
1996-11-01,0.65
1996-12-01,0.12
1997-01-01,0.28
1997-02-01,1.1
1997-03-01,0.52
1997-04-01,0.15
1997-05-01,0.4
1997-06-01,0.51
1997-07-01,0.86
1997-08-01,0.44
1997-09-01,0.89
1997-10-01,0.71
1997-11-01,0.96
1997-12-01,0.09
1998-01-01,0.5
1998-02-01,0.4
1998-03-01,0.0
1998-04-01,0.39
1998-05-01,0.41
1998-06-01,-0.67
1998-07-01,-0.69
1998-08-01,1.57
1998-09-01,-0.09
1998-10-01,0.39
1998-11-01,0.11
1998-12-01,0.31
1999-01-01,0.17
1999-02-01,0.65
1999-03-01,-0.15
1999-04-01,0.07
1999-05-01,0.75
1999-06-01,-0.18
1999-07-01,0.32
1999-08-01,0.43
1999-09-01,-0.27
1999-10-01,1.2
1999-11-01,0.54
1999-12-01,0.84
2000-01-01,0.41
2000-02-01,-0.31
2000-03-01,0.68
2000-04-01,0.76
2000-05-01,-0.71
2000-06-01,0.17
2000-07-01,-0.35
2000-08-01,-0.65
2000-09-01,0.44
2000-10-01,-0.72
2000-11-01,-0.48
2000-12-01,-0.44
2001-01-01,-1.18
2001-02-01,-0.94
2001-03-01,-1.08
2001-04-01,-1.45
2001-05-01,-0.87
2001-06-01,-1.53
2001-07-01,-0.89
2001-08-01,-0.95
2001-09-01,-1.53
2001-10-01,-1.07
2001-11-01,-1.31
2001-12-01,-0.55
2002-01-01,-0.32
2002-02-01,-0.32
2002-03-01,-0.16
2002-04-01,-0.01
2002-05-01,0.03
2002-06-01,0.39
2002-07-01,-0.6
2002-08-01,-0.21
2002-09-01,-0.41
2002-10-01,-0.6
2002-11-01,-0.05
2002-12-01,-0.99
2003-01-01,0.42
2003-02-01,-0.67
2003-03-01,-0.49
2003-04-01,-1.04
2003-05-01,-0.16
2003-06-01,-0.01
2003-07-01,0.07
2003-08-01,-0.39
2003-09-01,0.46
2003-10-01,0.2
2003-11-01,0.65
2003-12-01,0.01
2004-01-01,0.14
2004-02-01,0.51
2004-03-01,0.62
2004-04-01,0.3
2004-05-01,0.82
2004-06-01,-0.41
2004-07-01,0.64
2004-08-01,0.33
2004-09-01,0.14
2004-10-01,0.7
2004-11-01,-0.02
2004-12-01,0.95
2005-01-01,0.39
2005-02-01,0.55
2005-03-01,-0.36
2005-04-01,0.78
2005-05-01,-0.02
2005-06-01,0.48
2005-07-01,-0.06
2005-08-01,0.33
2005-09-01,-0.87
2005-10-01,0.97
2005-11-01,0.9
2005-12-01,0.48
2006-01-01,0.7
2006-02-01,0.14
2006-03-01,0.31
2006-04-01,-0.06
2006-05-01,-0.16
2006-06-01,0.04
2006-07-01,-0.38
2006-08-01,0.29
2006-09-01,-0.16
2006-10-01,-0.38
2006-11-01,-0.22
2006-12-01,0.96
2007-01-01,-0.76
2007-02-01,0.28
2007-03-01,0.33
2007-04-01,-0.16
2007-05-01,0.0
2007-06-01,-0.21
2007-07-01,-0.51
2007-08-01,-0.31
2007-09-01,-0.08
2007-10-01,-0.67
2007-11-01,-0.1
2007-12-01,-0.59
2008-01-01,-0.53
2008-02-01,-1.21
2008-03-01,-1.25
2008-04-01,-1.15
2008-05-01,-1.42
2008-06-01,-1.18
2008-07-01,-1.87
2008-08-01,-2.12
2008-09-01,-3.7
2008-10-01,-1.99
2008-11-01,-3.63
2008-12-01,-4.33
2009-01-01,-4.69
2009-02-01,-2.37
2009-03-01,-3.72
2009-04-01,-2.68
2009-05-01,-2.15
2009-06-01,-1.69
2009-07-01,-0.03
2009-08-01,-0.39
2009-09-01,-0.52
2009-10-01,-0.68
2009-11-01,-0.05
2009-12-01,-0.7
2010-01-01,0.15
2010-02-01,-0.6
2010-03-01,0.57
2010-04-01,0.57
2010-05-01,0.47
2010-06-01,-0.32
2010-07-01,0.23
2010-08-01,-0.27
2010-09-01,-0.33
2010-10-01,-0.23
2010-11-01,-0.37
2010-12-01,0.18
2011-01-01,0.01
2011-02-01,-0.45
2011-03-01,0.59
2011-04-01,-0.67
2011-05-01,-0.37
2011-06-01,-0.11
2011-07-01,0.25
2011-08-01,-0.11
2011-09-01,-0.33
2011-10-01,0.21
2011-11-01,-0.55
2011-12-01,0.39
2012-01-01,0.61
2012-02-01,-0.04
2012-03-01,-0.46
2012-04-01,0.03
2012-05-01,-0.29
2012-06-01,-0.55
2012-07-01,-0.27
2012-08-01,-0.68
2012-09-01,-0.05
2012-10-01,-0.4
2012-11-01,0.23
2012-12-01,0.3
2013-01-01,-0.4
2013-02-01,0.37
2013-03-01,-0.48
2013-04-01,-0.43
2013-05-01,0.08
2013-06-01,-0.19
2013-07-01,-0.83
2013-08-01,0.53
2013-09-01,0.19
2013-10-01,-0.1
2013-11-01,0.38
2013-12-01,-0.11
2014-01-01,-0.93
2014-02-01,0.58
2014-03-01,0.66
2014-04-01,0.03
2014-05-01,0.15
2014-06-01,0.2
2014-07-01,0.31
2014-08-01,-0.2
2014-09-01,0.06
2014-10-01,0.18
2014-11-01,0.5
2014-12-01,-0.04
2015-01-01,-0.36
2015-02-01,-0.56
2015-03-01,-0.04
2015-04-01,-0.04
2015-05-01,-0.34
2015-06-01,-0.26
2015-07-01,0.36
2015-08-01,-0.37
2015-09-01,-0.35
2015-10-01,-0.23
2015-11-01,-0.44
2015-12-01,-0.36
2016-01-01,0.14
2016-02-01,-0.45
2016-03-01,-0.41
2016-04-01,-0.18
2016-05-01,-0.52
2016-06-01,0.09
2016-07-01,0.1
2016-08-01,-0.38
2016-09-01,-0.08
2016-10-01,-0.08
2016-11-01,-0.16
2016-12-01,0.54
2017-01-01,-0.2
2017-02-01,-0.04
2017-03-01,0.02
2017-04-01,0.46
2017-05-01,-0.19
2017-06-01,0.12
2017-07-01,-0.22
2017-08-01,-0.08
2017-09-01,0.19
2017-10-01,0.84
2017-11-01,0.37
2017-12-01,0.19
2018-01-01,-0.33
2018-02-01,0.75
2018-03-01,0.26
2018-04-01,0.42
2018-05-01,-0.15
