DATE,CANDH
2002-09-01,-0.02
2002-10-01,0.07
2002-11-01,0.09
2002-12-01,0.13
2003-01-01,0.07
2003-02-01,-0.07
2003-03-01,0.12
2003-04-01,0.10
2003-05-01,0.09
2003-06-01,0.14
2003-07-01,0.13
2003-08-01,0.16
2003-09-01,0.02
2003-10-01,0.1
2003-11-01,0.18
2003-12-01,0.08
2004-01-01,0.10
2004-02-01,0.08
2004-03-01,0.16
2004-04-01,0.06
2004-05-01,0.16
2004-06-01,-0.02
2004-07-01,0.18
2004-08-01,0.12
2004-09-01,0.17
2004-10-01,0.10
2004-11-01,0.06
2004-12-01,0.18
2005-01-01,0.09
2005-02-01,0.15
2005-03-01,0.08
2005-04-01,0.19
2005-05-01,0.03
2005-06-01,0.25
2005-07-01,0.17
2005-08-01,0.02
2005-09-01,0.03
2005-10-01,0.14
2005-11-01,0.22
2005-12-01,0.12
2006-01-01,0.21
2006-02-01,0.11
2006-03-01,0.10
2006-04-01,0.08
2006-05-01,0.05
2006-06-01,0.06
2006-07-01,0.08
2006-08-01,-0.01
2006-09-01,0.07
2006-10-01,0.05
2006-11-01,0.03
2006-12-01,0.08
2007-01-01,-0.04
2007-02-01,-0.02
2007-03-01,0.00
2007-04-01,-0.02
2007-05-01,0.01
2007-06-01,-0.06
2007-07-01,-0.02
2007-08-01,-0.02
2007-09-01,-0.07
2007-10-01,-0.09
2007-11-01,-0.06
2007-12-01,-0.16
2008-01-01,-0.13
2008-02-01,-0.18
2008-03-01,-0.13
2008-04-01,-0.12
2008-05-01,-0.15
2008-06-01,-0.16
2008-07-01,-0.24
2008-08-01,-0.19
2008-09-01,-0.32
2008-10-01,-0.35
2008-11-01,-0.30
2008-12-01,-0.40
2009-01-01,-0.31
2009-02-01,-0.4
2009-03-01,-0.42
2009-04-01,-0.39
2009-05-01,-0.32
2009-06-01,-0.34
2009-07-01,-0.27
2009-08-01,-0.16
2009-09-01,-0.52
2009-10-01,-0.31
2009-11-01,-0.29
2009-12-01,-0.27
2010-01-01,-0.33
2010-02-01,-0.28
2010-03-01,-0.17
2010-04-01,-0.25
2010-05-01,-0.31
2010-06-01,-0.33
2010-07-01,-0.33
2010-08-01,-0.26
2010-09-01,-0.29
2010-10-01,-0.27
2010-11-01,-0.30
2010-12-01,-0.34
2011-01-01,-0.28
2011-02-01,-0.36
2011-03-01,-0.30
2011-04-01,-0.35
2011-05-01,-0.35
2011-06-01,-0.27
2011-07-01,-0.27
2011-08-01,-0.34
2011-09-01,-0.25
2011-10-01,-0.24
2011-11-01,-0.26
2011-12-01,-0.27
2012-01-01,-0.21
2012-02-01,-0.21
2012-03-01,-0.26
2012-04-01,-0.25
2012-05-01,-0.25
2012-06-01,-0.26
2012-07-01,-0.19
2012-08-01,-0.23
2012-09-01,-0.15
2012-10-01,-0.22
2012-11-01,-0.16
2012-12-01,-0.11
2013-01-01,-0.16
2013-02-01,-0.14
2013-03-01,-0.18
2013-04-01,-0.17
2013-05-01,-0.14
2013-06-01,-0.17
2013-07-01,-0.16
2013-08-01,-0.18
2013-09-01,-0.16
2013-10-01,-0.12
2013-11-01,-0.08
2013-12-01,-0.14
2014-01-01,-0.25
2014-02-01,-0.10
2014-03-01,-0.06
2014-04-01,-0.10
2014-05-01,-0.13
2014-06-01,-0.13
2014-07-01,-0.11
2014-08-01,-0.05
2014-09-01,-0.15
2014-10-01,-0.06
2014-11-01,-0.07
2014-12-01,-0.10
2015-01-01,-0.08
2015-02-01,-0.21
2015-03-01,-0.07
2015-04-01,-0.07
2015-05-01,-0.06
2015-06-01,-0.09
2015-07-01,-0.06
2015-08-01,-0.08
2015-09-01,-0.05
2015-10-01,-0.12
2015-11-01,-0.06
2015-12-01,-0.04
2016-01-01,-0.14
2016-02-01,-0.03
2016-03-01,-0.11
2016-04-01,-0.04
2016-05-01,-0.08
2016-06-01,-0.05
2016-07-01,-0.06
2016-08-01,-0.09
2016-09-01,-0.06
2016-10-01,-0.03
2016-11-01,-0.08
2016-12-01,-0.01
2017-01-01,-0.10
2017-02-01,-0.07
2017-03-01,-0.01
2017-04-01,-0.08
2017-05-01,-0.07
2017-06-01,-0.05
2017-07-01,-0.06
2017-08-01,-0.11
2017-09-01,0.00
2017-10-01,-0.02
2017-11-01,-0.01
2017-12-01,-0.06
2018-01-01,-0.1
2018-02-01,-0.07
2018-03-01,0.03
2018-04-01,-0.03
2018-05-01,-0.04
