DATE,USPHCI
2017-03-01,119.33
2017-04-01,119.6
2017-05-01,119.88
2017-06-01,120.15
2017-07-01,120.42
2017-08-01,120.65
2017-09-01,120.96
2017-10-01,121.28
2017-11-01,121.55
2017-12-01,121.79
2018-01-01,122.02
2018-02-01,122.38
2018-03-01,122.63
